[2021-11-02 15:41:54] app.INFO [N/A] [5b8d34c] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_product_product_new"] [POST, /Admin/product/product/new, 14.226.254.129, http://cosmosmarket.vn/Admin/product/product/new, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
[2021-11-02 15:43:49] app.INFO [N/A] [ce435b5] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_order"] [GET, /Admin/order, 118.70.236.143, https://cosmosmarket.vn/Admin/order/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:27] front.INFO [N/A] [7a5cef9] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:27] front.INFO [N/A] [7a5cef9] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["homepage"] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:27] front.INFO [N/A] [7a5cef9] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["homepage"] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:28] front.INFO [4d2bqua4d19mi9ntf8qcms6k64] [7a5cef9] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["homepage"] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:28] app.INFO [N/A] [7a5cef9] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["homepage"] [GET, /, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:38] front.INFO [N/A] [483ce08] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:38] front.ERROR [N/A] [483ce08] [N/A] [Eccube\Log\Logger:log:66] - システムエラーが発生しました。 ["No route found for \"GET /admin\"","/var/www/vhosts/cosmosmarket.vn/httpdocs/vendor/symfony/http-kernel/EventListener/RouterListener.php",139,"#0 /var/www/vhosts/cosmosmarket.vn/httpdocs/vendor/symfony/event-dispatcher/EventDispatcher.php(212): Symfony\\Component\\HttpKernel\\EventListener\\RouterListener->onKernelRequest(Object(Symfony\\Component\\HttpKernel\\Event\\GetResponseEvent), 'kernel.request', Object(Symfony\\Component\\EventDispatcher\\ContainerAwareEventDispatcher))\n#1 /var/www/vhosts/cosmosmarket.vn/httpdocs/vendor/symfony/event-dispatcher/EventDispatcher.php(44): Symfony\\Component\\EventDispatcher\\EventDispatcher->doDispatch(Array, 'kernel.request', Object(Symfony\\Component\\HttpKernel\\Event\\GetResponseEvent))\n#2 /var/www/vhosts/cosmosmarket.vn/httpdocs/vendor/symfony/http-kernel/HttpKernel.php(127): Symfony\\Component\\EventDispatcher\\EventDispatcher->dispatch('kernel.request', Object(Symfony\\Component\\HttpKernel\\Event\\GetResponseEvent))\n#3 /var/www/vhosts/cosmosmarket.vn/httpdocs/vendor/symfony/http-kernel/HttpKernel.php(68): Symfony\\Component\\HttpKernel\\HttpKernel->handleRaw(Object(Symfony\\Component\\HttpFoundation\\Request), 1)\n#4 /var/www/vhosts/cosmosmarket.vn/httpdocs/vendor/symfony/http-kernel/Kernel.php(200): Symfony\\Component\\HttpKernel\\HttpKernel->handle(Object(Symfony\\Component\\HttpFoundation\\Request), 1, true)\n#5 /var/www/vhosts/cosmosmarket.vn/httpdocs/index.php(74): Symfony\\Component\\HttpKernel\\Kernel->handle(Object(Symfony\\Component\\HttpFoundation\\Request))\n#6 {main}"] [GET, /admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:38] front.INFO [N/A] [483ce08] [N/A] [Eccube\Log\Logger:log:66] - LOGIC END [null] [GET, /admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:38] app.INFO [N/A] [483ce08] [N/A] [Eccube\Log\Logger:log:68] - PROCESS END [null] [GET, /admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:38] app.DEBUG [N/A] [483ce08] [N/A] [Eccube\Log\Logger:log:68] - Transaction is not active. Rollback skipped. [] [GET, /admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:43] front.INFO [N/A] [a88e8f0] [N/A] [Eccube\Log\Logger:log:66] - INIT [] [GET, /Admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:43] front.INFO [4d2bqua4d19mi9ntf8qcms6k64] [a88e8f0] [anon.] [Eccube\Log\Logger:log:66] - PROCESS START ["admin_homepage"] [GET, /Admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:43] front.INFO [4d2bqua4d19mi9ntf8qcms6k64] [a88e8f0] [anon.] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /Admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:43] front.INFO [4d2bqua4d19mi9ntf8qcms6k64] [a88e8f0] [anon.] [Eccube\Log\Logger:log:66] - LOGIC START ["admin_homepage"] [GET, /Admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:43] front.INFO [4d2bqua4d19mi9ntf8qcms6k64] [a88e8f0] [anon.] [Eccube\Log\Logger:log:66] - LOGIC END ["admin_homepage"] [GET, /Admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:43] app.INFO [N/A] [a88e8f0] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_homepage"] [GET, /Admin, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:52:43] app.INFO [N/A] [cf4f315] [anon.] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_homepage"] [GET, /Admin/, 116.102.39.64, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
[2021-11-02 20:53:02] app.INFO [N/A] [c789d7f] [1] [Eccube\Log\Logger:log:68] - PROCESS END ["admin_login"] [POST, /Admin/login, 116.102.39.64, http://cosmosmarket.vn/Admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36]
